date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:46:29	198/198	---M--	200	added ('OK')	text/plain	date:Mon,%2001%20Jun%202020%2014:42:57%20GMT	https://sieuthuthuat.com/robots.txt		(from )
08:46:47	5548/5548	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Jun%202020%2014:43:18%20GMT	https://sieuthuthuat.com/bin/	E:/ccgen/new/sieuthuthuat.com/bin/index.html	(from )
08:46:49	29063/29063	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min.css	E:/ccgen/new/maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min.css	(from https://sieuthuthuat.com/bin/)
08:46:50	19169/19169	---M--	200	added ('OK')	image/png	date:Wed,%2030%20May%202018%2010:32:29%20GMT	https://sieuthuthuat.com/bin/img/icon.png	E:/ccgen/new/sieuthuthuat.com/bin/img/icon.png	(from https://sieuthuthuat.com/bin/)
08:48:11	426/426	---M--	200	added ('OK')	text/html	date:Wed,%2030%20May%202018%2010:01:36%20GMT	https://sieuthuthuat.com/bin/files/css	E:/ccgen/new/sieuthuthuat.com/bin/files/css.html	(from https://sieuthuthuat.com/bin/)
08:48:11	1070/1070	---M--	200	added ('OK')	text/html	date:Wed,%2030%20May%202018%2010:01:36%20GMT	https://sieuthuthuat.com/bin/files/3116cf7d5d85070c2c0d4b96bfee7d8d	E:/ccgen/new/sieuthuthuat.com/bin/files/3116cf7d5d85070c2c0d4b96bfee7d8d.html	(from https://sieuthuthuat.com/bin/)
08:48:12	4550/4550	---M--	200	added ('OK')	text/css	date:Wed,%2030%20May%202018%2011:37:36%20GMT	https://sieuthuthuat.com/bin/files/style.css	E:/ccgen/new/sieuthuthuat.com/bin/files/style.css	(from https://sieuthuthuat.com/bin/)
08:48:24	20909/20909	---M--	200	added ('OK')	application/javascript	date:Mon,%2001%20Oct%202018%2012:55:34%20GMT	https://sieuthuthuat.com/bin/files/F4K_w78Gt0X.js	E:/ccgen/new/sieuthuthuat.com/bin/files/F4K_w78Gt0X.js	(from https://sieuthuthuat.com/bin/)
08:48:24	95930/95930	---M--	200	added ('OK')	application/javascript	date:Wed,%2030%20May%202018%2010:01:37%20GMT	https://sieuthuthuat.com/bin/files/jquery-1.11.2.min.js	E:/ccgen/new/sieuthuthuat.com/bin/files/jquery-1.11.2.min.js	(from https://sieuthuthuat.com/bin/)
08:48:26	5124/5124	---M--	200	added ('OK')	application/javascript	date:Wed,%2030%20May%202018%2010:01:37%20GMT	https://sieuthuthuat.com/bin/files/small.js	E:/ccgen/new/sieuthuthuat.com/bin/files/small.js	(from https://sieuthuthuat.com/bin/)
08:48:51	29063/29063	---M--	200	added ('OK')	text/css	date:Wed,%2030%20May%202018%2010:01:37%20GMT	https://sieuthuthuat.com/bin/files/font-awesome.min.css	E:/ccgen/new/sieuthuthuat.com/bin/files/font-awesome.min.css	(from https://sieuthuthuat.com/bin/)
08:49:24	68363/68363	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jun%202020%2014:45:54%20GMT	https://sieuthuthuat.com/bin/fonts/fontawesome-webfont.eot?v=4.6.3	E:/ccgen/new/sieuthuthuat.com/bin/fonts/fontawesome-webfont.a5b62.delayed	(from https://sieuthuthuat.com/bin/files/font-awesome.min.css)
08:50:50	68363/68363	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jun%202020%2014:47:20%20GMT	https://sieuthuthuat.com/bin/fonts/fontawesome-webfont.woff2?v=4.6.3	E:/ccgen/new/sieuthuthuat.com/bin/fonts/fontawesome-webfont.c5b62.delayed	(from https://sieuthuthuat.com/bin/files/font-awesome.min.css)
08:51:04	68363/68363	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jun%202020%2014:47:34%20GMT	https://sieuthuthuat.com/bin/fonts/fontawesome-webfont.woff?v=4.6.3	E:/ccgen/new/sieuthuthuat.com/bin/fonts/fontawesome-webfont.d5b62.delayed	(from https://sieuthuthuat.com/bin/files/font-awesome.min.css)
08:51:28	68363/68363	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jun%202020%2014:47:58%20GMT	https://sieuthuthuat.com/bin/fonts/fontawesome-webfont.svg?v=4.6.3	E:/ccgen/new/sieuthuthuat.com/bin/fonts/fontawesome-webfont.f5b62.delayed	(from https://sieuthuthuat.com/bin/files/font-awesome.min.css)
08:51:33	68363/68363	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jun%202020%2014:48:04%20GMT	https://sieuthuthuat.com/bin/fonts/fontawesome-webfont.ttf?v=4.6.3	E:/ccgen/new/sieuthuthuat.com/bin/fonts/fontawesome-webfont5b62.ttf	(from https://sieuthuthuat.com/bin/files/font-awesome.min.css)
08:51:40	175/175	---M--	200	added ('OK')	image/png	date:Wed,%2030%20May%202018%2010:27:30%20GMT	https://sieuthuthuat.com/bin/img/close.png	E:/ccgen/new/sieuthuthuat.com/bin/img/close.png	(from https://sieuthuthuat.com/bin/files/style.css)
08:51:52	72098/72098	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jun%202020%2014:48:22%20GMT	https://sieuthuthuat.com/bin/fonts/fontawesome-webfont.eot?	E:/ccgen/new/sieuthuthuat.com/bin/fonts/fontawesome-webfontd41d.eot	(from https://sieuthuthuat.com/bin/files/font-awesome.min.css)
